candidate_key,query_id,named_source_id,candidate_rank,pmid,doi,title,year,journal,authors,source_url,raw_path,raw_sha256
PMID:34491227,SEARCH-20260722-LINEAGE-CAUSAL-99,NS-CAUSAL-002,1,34491227,10.4269/ajtmh.20-0254,An Adaptive Intervention Trial Design for Finding the Optimal Integrated Strategies for Malaria Control and Elimination in Africa: A Model Simulation Study.,2021,The American journal of tropical medicine and hygiene,Guofa Zhou; Ming-Chieh Lee; Xiaoming Wang; Daibin Zhong; Elizabeth Hemming-Schroeder; Guiyun Yan,https://pubmed.ncbi.nlm.nih.gov/34491227/,raw/SEARCH-20260722-LINEAGE-CAUSAL-99.efetch.000000000-000000000.xml,25b7ea93bba2ebb38a8c8f49c57a9509038a9736d293adaf4f69a11867988b75
PMID:37100446,SEARCH-20260722-LINEAGE-CAUSAL-115,NS-CAUSAL-015,1,37100446,10.1136/bmj-2022-072488,Multi-faceted intervention to improve management of antibiotics for children presenting to primary care with acute cough and respiratory tract infection (CHICO): efficient cluster randomised controlled trial.,2023,BMJ (Clinical research ed.),Peter S Blair; Grace Young; Clare Clement; P Dixon; Penny Seume; Jenny Ingram; Jodi Taylor; Christie Cabral; Patricia J Lucas; Elizabeth Beech; Jeremy Horwood; Martin Gulliford; Nick A Francis; Sam Creavin; Janet A Lane; Scott Bevan; Alastair D Hay,https://pubmed.ncbi.nlm.nih.gov/37100446/,raw/SEARCH-20260722-LINEAGE-CAUSAL-115.efetch.000000000-000000000.xml,92e5722a59e7cc24d94417e2cc1a522e05a159a4a15786f943b4a874b84377a0
PMID:34711190,SEARCH-20260722-LINEAGE-CAUSAL-122,NS-CAUSAL-020,1,34711190,10.1186/s12879-021-06780-7,COVID-19 underreporting and its impact on vaccination strategies.,2021,BMC infectious diseases,Vinicius Albani; Jennifer Loria; Eduardo Massad; Jorge Zubelli,https://pubmed.ncbi.nlm.nih.gov/34711190/,raw/SEARCH-20260722-LINEAGE-CAUSAL-122.efetch.000000000-000000000.xml,514cb145f0e05548452c2925c5179704cf55af0c1a58e9c6104dd872506779b0
PMID:39579079,SEARCH-20260722-LINEAGE-CAUSAL-126,NS-CAUSAL-024,1,39579079,10.1093/cid/ciae577,Long-Term Effectiveness of Financial Incentives for Not Prescribing Unnecessary Antibiotics to Children With Acute Respiratory and Gastrointestinal Infections: Japan's Nationwide Quasi-Experimental Study.,2025,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Yusuke Okubo; Kazuhiro Uda; Isao Miyairi,https://pubmed.ncbi.nlm.nih.gov/39579079/,raw/SEARCH-20260722-LINEAGE-CAUSAL-126.efetch.000000000-000000000.xml,d34852daec856aac63e9addccfbda29e96b128629704bbb0cfbe5a57c39ed857
PMID:21342667,SEARCH-20260722-LINEAGE-CAUSAL-137,NS-CAUSAL-033,1,21342667,10.1016/j.vaccine.2011.02.016,Impact of conjugate 7-valent vaccination in Belgium: addressing methodological challenges.,2011,Vaccine,Germaine Hanquet; Tinne Lernout; Anne Vergison; Jan Verhaegen; Esther Kissling; David Tuerlinckx; Anne Malfroot; Béatrice Swennen; Martine Sabbe; Belgian IPD Scientific Committee,https://pubmed.ncbi.nlm.nih.gov/21342667/,raw/SEARCH-20260722-LINEAGE-CAUSAL-137.efetch.000000000-000000000.xml,bc73e8b600e1cadc05228bfbb6bf0d805ec246eb149ba209b9678a8c2b8eccbe
PMID:19934191,SEARCH-20260722-LINEAGE-CAUSAL-142,NS-CAUSAL-036,1,19934191,10.1093/aje/kwp329,Using marginal structural measurement-error models to estimate the long-term effect of antiretroviral therapy on incident AIDS or death.,2010,American journal of epidemiology,Stephen R Cole; Lisa P Jacobson; Phyllis C Tien; Lawrence Kingsley; Joan S Chmiel; Kathryn Anastos,https://pubmed.ncbi.nlm.nih.gov/19934191/,raw/SEARCH-20260722-LINEAGE-CAUSAL-142.efetch.000000000-000000000.xml,5582a0219d1465500a0c1db9184b2be6d8cc9020f391adebd0dc526ed6a2e6cc
PMID:23100246,SEARCH-20260722-LINEAGE-CAUSAL-148,NS-CAUSAL-042,1,23100246,10.1093/aje/kws158,Characterizing vaccine-associated risks using cubic smoothing splines.,2012,American journal of epidemiology,M Alan Brookhart; Alexander M Walker; Yun Lu; Laura Polakowski; Jie Li; Corrie Paeglow; Tosmai Puenpatom; Hector Izurieta; Gregory W Daniel,https://pubmed.ncbi.nlm.nih.gov/23100246/,raw/SEARCH-20260722-LINEAGE-CAUSAL-148.efetch.000000000-000000000.xml,3037ef03cfa792b97fe44051804096c5594cad665d7ed4d3a36770697862bbff
PMID:37746872,SEARCH-20260722-LINEAGE-CAUSAL-156,NS-CAUSAL-048,1,37746872,10.1093/cid/ciad469,"Long-term Cardiovascular, Cerebrovascular, and Other Thrombotic Complications in COVID-19 Survivors: A Retrospective Cohort Study.",2024,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Jue Tao Lim; Wee Liang En; An Ting Tay; Deanette Pang; Calvin J Chiew; Benjamin Ong; David Chien Boon Lye; Kelvin Bryan Tan,https://pubmed.ncbi.nlm.nih.gov/37746872/,raw/SEARCH-20260722-LINEAGE-CAUSAL-156.efetch.000000000-000000000.xml,d588ec32abc77da6289e7fb4b7571abf0bf0ddc347b1cc98a33daa8d8fd3e13b
PMID:31869328,SEARCH-20260722-LINEAGE-CAUSAL-158,NS-CAUSAL-050,1,31869328,10.1371/journal.pmed.1002994,The 2016 California policy to eliminate nonmedical vaccine exemptions and changes in vaccine coverage: An empirical policy analysis.,2019,PLoS medicine,Sindiso Nyathi; Hannah C Karpel; Kristin L Sainani; Yvonne Maldonado; Peter J Hotez; Eran Bendavid; Nathan C Lo,https://pubmed.ncbi.nlm.nih.gov/31869328/,raw/SEARCH-20260722-LINEAGE-CAUSAL-158.efetch.000000000-000000000.xml,3b16682254c7a78202d37ca817bc4f31da778ec9d87eeb8dd046c0a8db5d2eae
PMID:35287307,SEARCH-20260722-LINEAGE-CAUSAL-163,NS-CAUSAL-054,1,35287307,10.1016/j.jebo.2022.02.027,Save lives or save livelihoods? A cross-country analysis of COVID-19 pandemic and economic growth.,2022,Journal of economic behavior & organization,Qu Feng; Guiying Laura Wu; Mengying Yuan; Shihao Zhou,https://pubmed.ncbi.nlm.nih.gov/35287307/,raw/SEARCH-20260722-LINEAGE-CAUSAL-163.efetch.000000000-000000000.xml,d236efd731fa97297005605a82ae48d168a96d5ec2371f6180757a20fa4f58a1
PMID:38308279,SEARCH-20260722-LINEAGE-CAUSAL-173,NS-CAUSAL-061,1,38308279,10.1186/s12889-024-17803-8,Multilayer factors associated with excess all-cause mortality during the omicron and non-omicron waves of the COVID-19 pandemic: time series analysis in 29 countries.,2024,BMC public health,Fengjuan Zou; Jianpeng Xiao; Yingying Jin; Ronghua Jian; Yijun Hu; Xiaofeng Liang; Wenjun Ma; Sui Zhu,https://pubmed.ncbi.nlm.nih.gov/38308279/,raw/SEARCH-20260722-LINEAGE-CAUSAL-173.efetch.000000000-000000000.xml,fef8fc4754905478671f2cecb1cb5055180b745c1c9910ef08f9fd19f739a1f4
PMID:30346524,SEARCH-20260722-LINEAGE-CAUSAL-174,NS-CAUSAL-062,1,30346524,10.1093/cid/ciy906,The Use of Quasi-experimental Designs for Vaccine Evaluation.,2019,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,James A Lopez Bernal; Nick Andrews; Gayatri Amirthalingam,https://pubmed.ncbi.nlm.nih.gov/30346524/,raw/SEARCH-20260722-LINEAGE-CAUSAL-174.efetch.000000000-000000000.xml,03043e7d10f3120ad640d10f6b95ae0c0e1c40563a6879b728580f91104e2219
PMID:26935205,SEARCH-20260722-LINEAGE-CAUSAL-181,NS-CAUSAL-068,1,26935205,10.1186/s13071-016-1408-6,"Factors associated with tick bites and pathogen prevalence in ticks parasitizing humans in Georgia, USA.",2016,Parasites & vectors,Elizabeth R Gleim; Laurel E Garrison; Marianne S Vello; Mason Y Savage; Gaylord Lopez; Roy D Berghaus; Michael J Yabsley,https://pubmed.ncbi.nlm.nih.gov/26935205/,raw/SEARCH-20260722-LINEAGE-CAUSAL-181.efetch.000000000-000000000.xml,078e5ce10bd5958c7eed810ccfb469b2f0c2bfe21ba2e351f18288669d00b428
PMID:38422989,SEARCH-20260722-LINEAGE-CAUSAL-182,NS-CAUSAL-069,1,38422989,10.1002/sim.10046,Inference under superspreading: Determinants of SARS-CoV-2 transmission in Germany.,2024,Statistics in medicine,Patrick W Schmidt,https://pubmed.ncbi.nlm.nih.gov/38422989/,raw/SEARCH-20260722-LINEAGE-CAUSAL-182.efetch.000000000-000000000.xml,7f25d7b0c4421b50a4ed0608d5059672df8dfbbaaba2821e40e44ac4413d1b96
PMID:21361864,SEARCH-20260722-LINEAGE-CAUSAL-190,NS-CAUSAL-075,1,21361864,10.2174/157016211795569122,Factors associated with HIV virologic failure among patients on HAART for one year at three sentinel surveillance sites in China.,2011,Current HIV research,Xia Wang; Liting Yang; Huiqin Li; La Zuo; Shujia Liang; Wei Liu; Yonghui Dong; Shaomin Yang; Hong Shang; Jingyun Li; Laiyi Kang; Ping Zhong; Wei Zheng; Lingjie Liao; Hui Xing; Ray Y Chen; Yuhua Ruan; Yiming Shao,https://pubmed.ncbi.nlm.nih.gov/21361864/,raw/SEARCH-20260722-LINEAGE-CAUSAL-190.efetch.000000000-000000000.xml,5d7555358750fb261ec51d751a642b4e4b78bba188cb7f44483dc2afca68b455
PMID:21067976,SEARCH-20260722-LINEAGE-CAUSAL-192,NS-CAUSAL-077,1,21067976,10.1016/s1473-3099(10)70225-5,Quadrivalent human papillomavirus vaccination and trends in genital warts in Australia: analysis of national sentinel surveillance data.,2011,The Lancet. Infectious diseases,Basil Donovan; Neil Franklin; Rebecca Guy; Andrew E Grulich; David G Regan; Hammad Ali; Handan Wand; Christopher K Fairley,https://pubmed.ncbi.nlm.nih.gov/21067976/,raw/SEARCH-20260722-LINEAGE-CAUSAL-192.efetch.000000000-000000000.xml,863cbd0a1d4f47842a472f638014c5145f722b49472388e59113ae020de7eb60
PMID:31529036,SEARCH-20260722-LINEAGE-CAUSAL-201,NS-CAUSAL-086,1,31529036,10.1093/aje/kwz194,"RE: ""EFFECT ESTIMATES IN RANDOMIZED TRIALS AND OBSERVATIONAL STUDIES: COMPARING APPLES WITH APPLES"".",2020,American journal of epidemiology,Michael Schomaker; Felicitas Kühne; Uwe Siebert,https://pubmed.ncbi.nlm.nih.gov/31529036/,raw/SEARCH-20260722-LINEAGE-CAUSAL-201.efetch.000000000-000000001.xml,0a77d352fb16d4c29344e89eb981bb03f516a7ee9f42d8dee86b3dcc50191e43
PMID:31063192,SEARCH-20260722-LINEAGE-CAUSAL-201,NS-CAUSAL-086,2,31063192,10.1093/aje/kwz100,Effect Estimates in Randomized Trials and Observational Studies: Comparing Apples With Apples.,2019,American journal of epidemiology,Sara Lodi; Andrew Phillips; Jens Lundgren; Roger Logan; Shweta Sharma; Stephen R Cole; Abdel Babiker; Matthew Law; Haitao Chu; Dana Byrne; Andrzej Horban; Jonathan A C Sterne; Kholoud Porter; Caroline Sabin; Dominique Costagliola; Sophie Abgrall; John Gill; Giota Touloumi; Antonio G Pacheco; Ard van Sighem; Peter Reiss; Heiner C Bucher; Alexandra Montoliu Giménez; Inmaculada Jarrin; Linda Wittkop; Laurence Meyer; Santiago Perez-Hoyos; Amy Justice; James D Neaton; Miguel A Hernán; INSIGHT START Study Group and the HIV-CAUSAL Collaboration,https://pubmed.ncbi.nlm.nih.gov/31063192/,raw/SEARCH-20260722-LINEAGE-CAUSAL-201.efetch.000000000-000000001.xml,0a77d352fb16d4c29344e89eb981bb03f516a7ee9f42d8dee86b3dcc50191e43
PMID:25505499,SEARCH-20260722-LINEAGE-CAUSAL-205,NS-CAUSAL-089,1,25505499,10.1214/14-aoas727,EFFECT OF BREASTFEEDING ON GASTROINTESTINAL INFECTION IN INFANTS: A TARGETED MAXIMUM LIKELIHOOD APPROACH FOR CLUSTERED LONGITUDINAL DATA.,2014,The annals of applied statistics,Mireille E Schnitzer; Mark J van der Laan; Erica E M Moodie; Robert W Platt,https://pubmed.ncbi.nlm.nih.gov/25505499/,raw/SEARCH-20260722-LINEAGE-CAUSAL-205.efetch.000000000-000000000.xml,8d9f1ed0abbd288a82c6ac7890cf59a367e650548694c6cdcfa39b24d9d2877a
PMID:39320460,SEARCH-20260722-LINEAGE-EVIDENCE-65,NS-EVIDENCE-005,1,39320460,10.1093/cid/ciae455,Correction to: Changes in the Appropriateness of US Outpatient Antibiotic Prescribing After the COVID-19 Outbreak: An Interrupted Time series Analysis of 2017-2021 Data.,2024,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,https://pubmed.ncbi.nlm.nih.gov/39320460/,raw/SEARCH-20260722-LINEAGE-EVIDENCE-65.efetch.000000000-000000000.xml,11614b6cbd1836667a96b85f0f473d1f800898e19a7c8003e02945a7de305be6
PMID:25023449,SEARCH-20260722-LINEAGE-EVIDENCE-66,NS-EVIDENCE-006,1,25023449,10.1017/s0950268814000429,Using surveillance and monitoring data of different origins in a Salmonella source attribution model: a European Union example with challenges and proposed solutions.,2015,Epidemiology and infection,L V DE Knegt; S M Pires; T Hald,https://pubmed.ncbi.nlm.nih.gov/25023449/,raw/SEARCH-20260722-LINEAGE-EVIDENCE-66.efetch.000000000-000000000.xml,7c70064c9faefc3dcee63eb2fa1f8b6fcc7fefd9f29e438f820f303f7f82e19d
PMID:20630145,SEARCH-20260722-LINEAGE-EVIDENCE-71,NS-EVIDENCE-010,1,20630145,10.2807/ese.15.27.19610-en,Emergence of pregnancy-related listeriosis amongst ethnic minorities in England and Wales.,2010,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,P Mook; K A Grant; C L Little; G Kafatos; I A Gillespie,https://pubmed.ncbi.nlm.nih.gov/20630145/,raw/SEARCH-20260722-LINEAGE-EVIDENCE-71.efetch.000000000-000000000.xml,a0c727f999b9618b1b89d3ffbd63b4b7a2467c2889b21a6703d4f58a70b5ff1c
PMID:27277138,SEARCH-20260722-LINEAGE-EVIDENCE-72,NS-EVIDENCE-011,1,27277138,10.1111/risa.12637,Evolution and Use of Dynamic Transmission Models for Measles and Rubella Risk and Policy Analysis.,2016,Risk analysis : an official publication of the Society for Risk Analysis,Kimberly M Thompson,https://pubmed.ncbi.nlm.nih.gov/27277138/,raw/SEARCH-20260722-LINEAGE-EVIDENCE-72.efetch.000000000-000000000.xml,d7c9995dcef06fff444b3f5ceaee00e4a37ae606095594c01c8237e189a1aed9
PMID:37442686,SEARCH-20260722-LINEAGE-EVIDENCE-74,NS-EVIDENCE-013,1,37442686,10.1016/j.vaccine.2023.06.073,Exclusion of pregnant people from emergency vaccine clinical trials: A systematic review of clinical trial protocols and reporting from 2009 to 2019.,2023,Vaccine,Jamie Minchin; Gavin H Harris; Sasha Baumann; Emily R Smith,https://pubmed.ncbi.nlm.nih.gov/37442686/,raw/SEARCH-20260722-LINEAGE-EVIDENCE-74.efetch.000000000-000000000.xml,f25c6ee507d49eb7dda5016acd3559b179ef597cd33e9d545b8d27f0a0a14a73
PMID:36246252,SEARCH-20260722-LINEAGE-EVIDENCE-77,NS-EVIDENCE-016,1,36246252,10.3389/fmicb.2022.1011049,Knowing the unknown: The underestimation of monkeypox cases. Insights and implications from an integrative review of the literature.,2022,Frontiers in microbiology,Nicola Luigi Bragazzi; Woldegebriel Assefa Woldegerima; Sarafa Adewale Iyaniwura; Qing Han; Xiaoying Wang; Aminath Shausan; Kingsley Badu; Patrick Okwen; Cheryl Prescod; Michelle Westin; Andrew Omame; Manlio Converti; Bruce Mellado; Jianhong Wu; Jude Dzevela Kong,https://pubmed.ncbi.nlm.nih.gov/36246252/,raw/SEARCH-20260722-LINEAGE-EVIDENCE-77.efetch.000000000-000000000.xml,05dba9e4235e6c233517e6fb8babec818398efda192de7af927941896b042b5d
PMID:26743093,SEARCH-20260722-LINEAGE-EVIDENCE-81,NS-EVIDENCE-019,1,26743093,10.1093/cid/civ1222,How Generalizable Are the Results From Trials of Direct Antiviral Agents to People Coinfected With HIV/HCV in the Real World?,2016,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Sahar Saeed; Erin C Strumpf; Sharon L Walmsley; Kathleen Rollet-Kurhajec; Neora Pick; Valerie Martel-Laferrière; Mark Hull; M John Gill; Joseph Cox; Curtis Cooper; Marina B Klein; Canadian Co-Infection Cohort Study; Jeff Cohen; Brian Conway; Curtis Cooper; Pierre Côté; Joseph Cox; John Gill; Shariq Haider; Marianne Harris; David Haase; Mark Hull; Julio Montaner; Erica Moodie; Neora Pick; Anita Rachlis; Danielle Rouleau; Roger Sandre; Joseph Mark Tyndall; Marie-Louise Vachon; Sharon Walmsley; David Wong,https://pubmed.ncbi.nlm.nih.gov/26743093/,raw/SEARCH-20260722-LINEAGE-EVIDENCE-81.efetch.000000000-000000000.xml,0e728f517fdc549fc4d7d660597355edabb0af08dbe01a47d9c7fa1c988367e3
PMID:33669985,SEARCH-20260722-LINEAGE-EVIDENCE-82,NS-EVIDENCE-020,1,33669985,10.3390/ijerph18042095,Handling Poor Accrual in Pediatric Trials: A Simulation Study Using a Bayesian Approach.,2021,International journal of environmental research and public health,Danila Azzolina; Giulia Lorenzoni; Silvia Bressan; Liviana Da Dalt; Ileana Baldi; Dario Gregori,https://pubmed.ncbi.nlm.nih.gov/33669985/,raw/SEARCH-20260722-LINEAGE-EVIDENCE-82.efetch.000000000-000000000.xml,47c236ddb36f23d96eba44423d6e86f6fe413e375ad5aa72b1eca8410d3ccedb
PMID:22372578,SEARCH-20260722-LINEAGE-EVIDENCE-84,NS-EVIDENCE-022,1,22372578,10.1111/j.1461-0248.2012.01749.x,Rapid genetic change underpins antagonistic coevolution in a natural host-pathogen metapopulation.,2012,Ecology letters,Peter H Thrall; Anna-Liisa Laine; Michael Ravensdale; Adnane Nemri; Peter N Dodds; Luke G Barrett; Jeremy J Burdon,https://pubmed.ncbi.nlm.nih.gov/22372578/,raw/SEARCH-20260722-LINEAGE-EVIDENCE-84.efetch.000000000-000000000.xml,3f984f1a11a311011fef793ecf4529e989477d7f8c96395bc64b0fabe2216133
PMID:36219562,SEARCH-20260722-LINEAGE-EVIDENCE-86,NS-EVIDENCE-023,1,36219562,10.1093/cid/ciac653,Influenza During the 2010-2020 Decade in the United States: Seasonal Outbreaks and Vaccine Interventions.,2023,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,Ryan E Malosh; Ian McGovern; Arnold S Monto,https://pubmed.ncbi.nlm.nih.gov/36219562/,raw/SEARCH-20260722-LINEAGE-EVIDENCE-86.efetch.000000000-000000000.xml,94eefd67254be7e854a607dc0910bebae434c397d3be51be6e647927a02d2ae7
